Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 050422,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 9,Cocacola Classic 8520 Ml,00006700002011,53.08,6
Store 11,Canaddry Gingerale 355 Ml,00006210001893,7.88,6
Store 11,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,29.88,6
Store 11,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,14.94,3
Store 11,Dads Root Beer 4 Ea,00083362701040,74.7,15
Store 11,Fentimans Ginger Beer 800 Ml,00502939601222,14.94,3
Store 12,7Up Soft Drink Diet 1332 Ml,00006540001808,35.88,6
Store 12,Canaddry Gingerale 355 Ml,00006210001893,31.52,24
Store 12,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,175.78,33
Store 12,Pepsi Throwback 355 Ml,00006900002088,98.78,33
Store 12,Fanta Soda Pop Orange 1332 Ml,00006700002153,19.94,3
Store 12,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,59.82,9
Store 12,Comp Soft Drink Cola 1332 Ml,00005574255844,39.88,6
Store 12,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,19.94,3
Store 12,Cocacola Classic 8520 Ml,00006700002011,79.62,9
Store 12,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,29.88,6
Store 12,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,14.94,3
Store 12,Dads Root Beer 4 Ea,00083362701040,44.82,9
Store 13,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,47.94,9
Store 13,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.94,3
Store 13,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,39.88,6
Store 13,Comp Soft Drink Cola 1332 Ml,00005574255844,59.82,9
Store 14,Fanta Soda Pop Orange 1332 Ml,00006700002153,19.94,3
Store 14,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,29.88,6
Store 14,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,19.94,3
Store 15,7Up Soft Drink Diet 1332 Ml,00006540001808,17.98,3
Store 15,Canaddry Gingerale 355 Ml,00006210001893,7.96,6
Store 15,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,175.78,33
Store 15,Pepsi Throwback 355 Ml,00006900002088,8.98,3
Store 15,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,63.96,6
Store 15,Comp Soft Drink Cola 1332 Ml,00005574255844,59.94,9
Store 15,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,19.98,3
Store 15,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,21.98,3
Store 15,Cocacola Classic 8520 Ml,00006700002011,132.9,15
Store 15,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,29.96,6
Store 15,Dads Root Beer 4 Ea,00083362701040,14.98,3
Store 16,7Up Soft Drink Diet 1332 Ml,00006540001808,35.96,6
Store 16,Canaddry Gingerale 355 Ml,00006210001893,27.86,21
Store 16,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,287.64,54
Store 16,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 16,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,59.94,9
Store 16,Comp Soft Drink Cola 1332 Ml,00005574255844,79.92,12
Store 16,Cocacola Classic 8520 Ml,00006700002011,159.48,18
Store 16,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,14.98,3
Store 16,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,44.94,9
Store 16,Dads Root Beer 4 Ea,00083362701040,44.94,9
Store 16,Soca Fruit Punch 400 Ml,00501439631272,31.96,6
Store 17,7Up Soft Drink Diet 1332 Ml,00006540001808,89.9,15
Store 17,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,19.98,3
Store 17,Canaddry Gingerale 355 Ml,00006210001893,47.76,36
Store 17,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,79.9,15
Store 17,Pepsi Throwback 355 Ml,00006900002088,17.96,6
Store 17,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,39.96,6
Store 17,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,14.98,3
Store 17,Comp Soft Drink Cola 1332 Ml,00005574255844,39.96,6
Store 17,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,39.96,6
Store 17,Cocacola Classic 8520 Ml,00006700002011,132.9,15
Store 17,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,29.96,6
Store 17,Dads Root Beer 4 Ea,00083362701040,29.96,6
Store 17,Fentimans Ginger Beer 800 Ml,00502939601222,14.98,3
Store 18,7Up Soft Drink Diet 1332 Ml,00006540001808,35.96,6
Store 18,Pepsi Zero Sugar 1332 Ml,00006900015936,19.98,3
Store 18,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,111.86,21
Store 18,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,95.94,9
Store 18,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,39.96,6
Store 18,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,29.96,6
Store 18,Comp Soft Drink Cola 1332 Ml,00005574255844,99.9,15
Store 18,Cocacola Classic 8520 Ml,00006700002011,159.48,18
Store 18,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,14.98,3
Store 18,Dads Root Beer 4 Ea,00083362701040,44.94,9
Store 19,Canaddry Gingerale 355 Ml,00006210001893,23.88,18
Store 19,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,19.98,3
