Product & Geography Sales Metrics (Gold),,,,
Time:Week Ending 12-11-24,,,,
Province:All Provinces,,,,
Supplier:All Supplier,,,,
Brand:All Brands,,,,
SOF Same Store:All Stores,,,,
e_Commerce:All Sales,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0512,7Up Soft Drink Diet 1332 Ml,00006540001808,28.98,3
0512,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,32.98,3
0512,Grizzlypaw Cream Soda 1420 Ml,00018244001195,25.98,3
0512,Comp Soft Drink Cola 1332 Ml,00005574255844,95.94,9
0514,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,65.96,6
0514,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,36.88,3
0517,A&W Rootbeer 355Ml 355 Ml,00005953101002,27.98,3
0517,Pepsi Multipack 4260 Ml,00006900001984,44.58,3
0517,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,32.98,3
0517,Fanta Soda Pop Orange 1332 Ml,00006700002153,51.56,6
0517,Stewarts Soda Cream 355 Ml,00009879401037,39.96,6
0519,A&W Rootbeer 355Ml 355 Ml,00005953101002,27.98,3
0519,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,65.96,6
0519,Fanta Orange Can 355 Ml,00006700001433,25.98,3
0519,Guarana Beverage Antarcclssc 350 Ml,00789199102390,59.94,9
0519,Muskoka Old Tyme Orange 355 Ml,00062168063238,39.96,6
0519,Mountain Dew Diet 591 Ml,00006900006058,29.98,3
0502,A&W Rootbeer 355Ml 355 Ml,00005953101002,27.98,3
0502,Fevertre Water Tonic 800 Ml,00089819501101,53.16,6
0502,Pepsi Multipack 4260 Ml,00006900001984,44.58,3
0502,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,164.9,15
0502,Fanta Soda Pop Orange 1332 Ml,00006700002153,77.34,9
0502,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,40.98,3
0502,Canaddry Gingerale Diet 4260 Ml,00006210001894,55.96,6
0502,Muskoka Old Tyme Orange 355 Ml,00062168063238,39.96,6
0516,Pepsi Multipack 4260 Ml,00006900001984,89.16,6
0516,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,47.68,3
0516,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,40.98,3
0516,Canaddry Ginger Ale Zero Sugar 355 Ml,00006210001018,19.98,3
0516,Guarana Beverage Antarcclssc 350 Ml,00789199102390,19.98,3
