Product & Geography Sales Metrics (Gold),,,,
Time:Week Ending 12-25-24,,,,
Province:All Provinces,,,,
Supplier:All Supplier,,,,
Brand:All Brands,,,,
SOF Same Store:All Stores,,,,
e_Commerce:All Sales,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0512,Fevertre Water Tonic 800 Ml,00089819501101,49.96,6
0512,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,23.98,3
0512,Comp Soft Drink Cola 1332 Ml,00005574255844,127.92,12
0514,Pepsi Zero Sugar 355 Ml,00006900016900,25.78,3
0514,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,71.94,9
0514,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,36.88,3
0514,Muskoka Old Tyme Orange 355 Ml,00062168063238,39.96,6
0517,A&W Rootbeer 355Ml 355 Ml,00005953101002,83.94,9
0517,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,95.92,12
0517,Fanta Orange Can 355 Ml,00006700001433,39.96,6
0517,Grizzlypaw Cream Soda 1420 Ml,00018244001195,99.9,15
0517,Fanta Soda Pop Orange 1332 Ml,00006700002153,25.78,3
0517,Canaddry Ginger Ale Zero Sugar 355 Ml,00006210001018,19.98,3
0517,Guarana Beverage Antarcclssc 350 Ml,00789199102390,79.92,12
0517,Stewarts Soda Cream 355 Ml,00009879401037,39.96,6
0517,Marble Pop Blueberry 200 Ml,00007441078814,16.76,6
0517,Pepsi 1000 Ml,00006900001982,25.14,9
0519,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,47.96,6
0519,Fanta Orange Can 355 Ml,00006700001433,19.98,3
0519,Guarana Beverage Antarcclssc 350 Ml,00789199102390,19.98,3
0502,A&W Rootbeer 355Ml 355 Ml,00005953101002,27.98,3
0502,Fevertre Water Tonic 800 Ml,00089819501101,65.94,9
0502,Pepsi Multipack 4260 Ml,00006900001984,133.74,9
0502,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,182.24,24
0502,Cocacola Diet 2000 Ml,00006700001897,24.98,3
0502,Fanta Soda Pop Orange 1332 Ml,00006700002153,25.78,3
0502,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,81.96,6
0502,Comp Soft Drink Cola 1332 Ml,00005574255844,60.76,6
0502,Canaddry Gingerale Diet 4260 Ml,00006210001894,55.96,6
