Start Week,End Week,Week,Week_Index
2023-03-16,2023-03-22,202312,168
2023-03-23,2023-03-29,202313,169
2023-03-30,2023-04-05,202314,170
2023-04-06,2023-04-12,202315,171
2023-04-13,2023-04-19,202316,172
2023-04-20,2023-04-26,202317,173
2023-04-27,2023-05-03,202318,174
2023-05-04,2023-05-10,202319,175
2023-05-11,2023-05-17,202320,176
2023-05-18,2023-05-24,202321,177
2023-05-25,2023-05-31,202322,178
2023-06-01,2023-06-07,202323,179
2023-06-08,2023-06-14,202324,180
2023-06-15,2023-06-21,202325,181
2023-06-22,2023-06-28,202326,182
2023-06-29,2023-07-05,202327,183
2023-07-06,2023-07-12,202328,184
2023-07-13,2023-07-19,202329,185
2023-07-20,2023-07-26,202330,186
2023-07-27,2023-08-02,202331,187
2023-08-03,2023-08-09,202332,188
2023-08-10,2023-08-16,202333,189
2023-08-17,2023-08-23,202334,190
2023-08-24,2023-08-30,202335,191
2023-08-31,2023-09-06,202336,192
2023-09-07,2023-09-13,202337,193
2023-09-14,2023-09-20,202338,194
2023-09-21,2023-09-27,202339,195
2023-09-28,2023-10-04,202340,196
2023-10-05,2023-10-11,202341,197
2023-10-12,2023-10-18,202342,198
2023-10-19,2023-10-25,202343,199
2023-10-26,2023-11-01,202344,200
2023-11-02,2023-11-08,202345,201
2023-11-09,2023-11-15,202346,202
2023-11-16,2023-11-22,202347,203
2023-11-23,2023-11-29,202348,204
2023-11-30,2023-12-06,202349,205
2023-12-07,2023-12-13,202350,206
2023-12-14,2023-12-20,202351,207
2023-12-21,2023-12-27,202352,208
2023-12-28,2024-01-03,202401,209
2024-01-04,2024-01-10,202402,210
2024-01-11,2024-01-17,202403,211
2024-01-18,2024-01-24,202404,212
2024-01-25,2024-01-31,202405,213
2024-02-01,2024-02-07,202406,214
2024-02-08,2024-02-14,202407,215
2024-02-15,2024-02-21,202408,216
2024-02-22,2024-02-28,202409,217
2024-02-29,2024-03-06,202410,218
2024-03-07,2024-03-13,202411,219
2024-03-14,2024-03-20,202412,220
2024-03-21,2024-03-27,202413,221
2024-03-28,2024-04-03,202414,222
2024-04-04,2024-04-10,202415,223
2024-04-11,2024-04-17,202416,224
2024-04-18,2024-04-24,202417,225
2024-04-25,2024-05-01,202418,226
2024-05-02,2024-05-08,202419,227
2024-05-09,2024-05-15,202420,228
2024-05-16,2024-05-22,202421,229
2024-05-23,2024-05-29,202422,230
2024-05-30,2024-06-05,202423,231
2024-06-06,2024-06-12,202424,232
2024-06-13,2024-06-19,202425,233
2024-06-20,2024-06-26,202426,234
2024-06-27,2024-07-03,202427,235
2024-07-04,2024-07-10,202428,236
2024-07-11,2024-07-17,202429,237
2024-07-18,2024-07-24,202430,238
2024-07-25,2024-07-31,202431,239
2024-08-01,2024-08-07,202432,240
2024-08-08,2024-08-14,202433,241
2024-08-15,2024-08-21,202434,242
2024-08-22,2024-08-28,202435,243
2024-08-29,2024-09-04,202436,244
2024-09-05,2024-09-11,202437,245
2024-09-12,2024-09-18,202438,246
2024-09-19,2024-09-25,202439,247
2024-09-26,2024-10-02,202440,248
2024-10-03,2024-10-09,202441,249
2024-10-10,2024-10-16,202442,250
2024-10-17,2024-10-23,202443,251
2024-10-24,2024-10-30,202444,252
2024-10-31,2024-11-06,202445,253
2024-11-07,2024-11-13,202446,254
2024-11-14,2024-11-20,202447,255
2024-11-21,2024-11-27,202448,256
2024-11-28,2024-12-04,202449,257
2024-12-05,2024-12-11,202450,258
2024-12-12,2024-12-18,202451,259
2024-12-19,2024-12-25,202452,260
2024-12-26,2025-01-01,202453,261
2025-01-02,2025-01-08,202501,262
2025-01-09,2025-01-15,202502,263
2025-01-16,2025-01-22,202503,264
2025-01-23,2025-01-29,202504,265
2025-01-30,2025-02-05,202505,266
2025-02-06,2025-02-12,202506,267
2025-02-13,2025-02-19,202507,268
2025-02-20,2025-02-26,202508,269
2025-02-27,2025-03-05,202509,270
2025-03-06,2025-03-12,202510,271
2025-03-13,2025-03-19,202511,272
2025-03-20,2025-03-26,202512,273
2025-03-27,2025-04-02,202513,274
2025-04-03,2025-04-09,202514,275
2025-04-10,2025-04-16,202515,276
2025-04-17,2025-04-23,202516,277
2025-04-24,2025-04-30,202517,278
2025-05-01,2025-05-07,202518,279
2025-05-08,2025-05-14,202519,280
2025-05-15,2025-05-21,202520,281
2025-05-22,2025-05-28,202521,282
2025-05-29,2025-06-04,202522,283
2025-06-05,2025-06-11,202523,284
2025-06-12,2025-06-18,202524,285
2025-06-19,2025-06-25,202525,286
2025-06-26,2025-07-02,202526,287
2025-07-03,2025-07-09,202527,288
2025-07-10,2025-07-16,202528,289
2025-07-17,2025-07-23,202529,290
2025-07-24,2025-07-30,202530,291
2025-07-31,2025-08-06,202531,292
2025-08-07,2025-08-13,202532,293
2025-08-14,2025-08-20,202533,294
2025-08-21,2025-08-27,202534,295
2025-08-28,2025-09-03,202535,296
2025-09-04,2025-09-10,202536,297
2025-09-11,2025-09-17,202537,298
2025-09-18,2025-09-24,202538,299
2025-09-25,2025-10-01,202539,300
2025-10-02,2025-10-08,202540,301
2025-10-09,2025-10-15,202541,302
2025-10-16,2025-10-22,202542,303
2025-10-23,2025-10-29,202543,304
2025-10-30,2025-11-05,202544,305
2025-11-06,2025-11-12,202545,306
2025-11-13,2025-11-19,202546,307
2025-11-20,2025-11-26,202547,308
2025-11-27,2025-12-03,202548,309
2025-12-04,2025-12-10,202549,310
2025-12-11,2025-12-17,202550,311
2025-12-18,2025-12-24,202551,312
2025-12-25,2025-12-31,202552,313
